4.000000000000000000e+00 3.893892037775997128e+00 0.000000000000000000e+00
6.000000000000000000e+00 5.840838056663996802e+00 0.000000000000000000e+00
8.000000000000000000e+00 7.787784075551994256e+00 0.000000000000000000e+00
1.000000000000000000e+01 7.880495790737137796e+00 6.523263741031844809e+00
1.200000000000000000e+01 7.880495790737137796e+00 1.047361583316365952e+01
1.400000000000000000e+01 7.880495790737137796e+00 1.356879103453651680e+01
1.600000000000000000e+01 7.880495790737137796e+00 1.632833335278240838e+01
1.800000000000000000e+01 7.880495790737137796e+00 1.888407337234367489e+01
2.000000000000000000e+01 7.880495790737137796e+00 2.129923819828367471e+01
2.200000000000000000e+01 7.880495790737137796e+00 2.360345966651611249e+01
2.400000000000000000e+01 7.880495790737137796e+00 2.581074501350677863e+01
