4.000000000000000000e+00 3.893892037775997128e+00 0.000000000000000000e+00
6.000000000000000000e+00 5.840838056663996802e+00 0.000000000000000000e+00
8.000000000000000000e+00 7.719500760364247149e+00 0.000000000000000000e+00
1.000000000000000000e+01 7.880495790737137796e+00 6.683040513377814129e+00
1.200000000000000000e+01 7.880495790737137796e+00 1.060196176905936483e+01
1.400000000000000000e+01 7.880495790737137796e+00 1.369609314053028726e+01
1.600000000000000000e+01 7.880495790737137796e+00 1.646814645965699597e+01
1.800000000000000000e+01 7.880495790737137796e+00 1.901804508697608753e+01
2.000000000000000000e+01 7.880495790737137796e+00 2.025204006704149506e+01
2.200000000000000000e+01 7.880495790737137796e+00 2.025204006704149506e+01
2.400000000000000000e+01 7.880495790737137796e+00 2.025204006704149506e+01
